description,Gear,Source,Mgmt_area,Sex,year,age,mean_weight,sd_weight,n
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,7,3.7,0.9,92
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,8,3.9,0.9,133
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,9,4,0.9,127
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,10,4,1.1,108
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,11,4.1,0.7,84
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,12,4,0.9,64
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,13,4.3,0.9,44
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,14,4.1,0.8,29
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,15,4.7,1.1,19
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,16,4.6,1.2,16
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,17,5.6,1.7,21
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,18,6.2,1.8,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,19,5.9,1.4,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,20,5.6,1,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,21,5.9,1.7,18
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,22,5.9,1.8,18
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,23,6.4,1.9,14
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,24,5.1,0.5,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,25,5.7,2,15
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,26,6.8,1.8,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,27,6,2.1,12
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,28,6,1.3,8
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,29,7.1,2.6,12
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,30,6.5,1.3,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,31,6.1,2.5,11
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,32,6.4,1.4,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,33,4.5,0.6,4
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,34,6.8,2,9
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,35,5.6,0.8,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,36,5.3,1.2,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,37,6.9,0.9,3
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,38,8.7,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,40,7.7,0.9,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,41,11.7,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,43,10.5,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,44,8.2,0.7,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,45,5.2,0.2,2
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,48,6.1,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,50,5.5,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2006,51,8.1,NaN,1
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,3,1.1,NaN,1
